SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/22 09:10:00,BARCSF1,18.0
2019/08/22 09:10:00,BUTLERSG,9.699999
2019/08/22 09:10:00,CALL_A_4,0.0
2019/08/22 09:10:00,CAPTL_WF,117.50799599999999
2019/08/22 09:10:00,CATHROCK,0.0
2019/08/22 09:10:00,CHALLHWF,34.200001
2019/08/22 09:10:00,CLOVER,0.0
2019/08/22 09:10:00,CLUNY,19.959259
2019/08/22 09:10:00,CNUNDAWF,12.514599
2019/08/22 09:10:00,CULLRGWF,30.389999
2019/08/22 09:10:00,ERGT01,0.0
2019/08/22 09:10:00,GB01,0.05400800000000001
2019/08/22 09:10:00,GERMCRK,34.0
2019/08/22 09:10:00,GRIFSF1,6.099998
2019/08/22 09:10:00,HUGSF1,8.993
2019/08/22 09:10:00,LKBONNY1,38.492336
2019/08/22 09:10:00,LRSF1,0.039
2019/08/22 09:10:00,MBAHNTH,55.96875
2019/08/22 09:10:00,MLSP1,7.532000999999999
2019/08/22 09:10:00,MLWF1,13.41
2019/08/22 09:10:00,MTMILLAR,3.556947
2019/08/22 09:10:00,PALOONA,28.58
2019/08/22 09:10:00,PIONEER,35.0
2019/08/22 09:10:00,PORTWF,56.0
2019/08/22 09:10:00,REPULSE,29.190509999999996
2019/08/22 09:10:00,ROWALLAN,10.3305
2019/08/22 09:10:00,ROYALLA1,14.452001000000001
2019/08/22 09:10:00,RPCG,9.6
2019/08/22 09:10:00,RUBICON,0.0
2019/08/22 09:10:00,SATGN1,0.0
2019/08/22 09:10:00,SATGS1,0.0
2019/08/22 09:10:00,STARHLWF,1.19965
2019/08/22 09:10:00,WAUBRAWF,179.057007
2019/08/22 09:10:00,WOOLNTH1,122.76001699999999
2019/08/22 09:10:00,WPWF,3.0
2019/08/22 09:10:00,YAMBUKWF,26.6
2019/08/22 09:10:00,YSWF1,14.3
2019/08/22 09:10:00,AGLHAL,0.0
2019/08/22 09:10:00,AGLSOM,0.0
2019/08/22 09:10:00,ANGAST1,0.0
2019/08/22 09:10:00,ARWF1,194.20001000000002
2019/08/22 09:10:00,BALBG1,1.14
2019/08/22 09:10:00,BALBL1,0.0
2019/08/22 09:10:00,BALDHWF1,97.64301
2019/08/22 09:10:00,BANN1,45.55
2019/08/22 09:10:00,BARCALDN,0.0
2019/08/22 09:10:00,BARRON-1,0.0
2019/08/22 09:10:00,BARRON-2,28.36
2019/08/22 09:10:00,BASTYAN,78.19
2019/08/22 09:10:00,BBTHREE1,-2.07
2019/08/22 09:10:00,BBTHREE2,-2.06
2019/08/22 09:10:00,BBTHREE3,-1.06
2019/08/22 09:10:00,BDL01,0.0
2019/08/22 09:10:00,BDL02,-0.12
2019/08/22 09:10:00,BERYLSF1,10.71187
2019/08/22 09:10:00,BLOWERNG,0.0
2019/08/22 09:10:00,BLUFF1,15.1
2019/08/22 09:10:00,BNGSF1,81.54
2019/08/22 09:10:00,BNGSF2,19.99
2019/08/22 09:10:00,BOCORWF1,102.94
2019/08/22 09:10:00,BODWF1,102.04261
2019/08/22 09:10:00,BRAEMAR1,0.0
2019/08/22 09:10:00,BRAEMAR2,0.0
2019/08/22 09:10:00,BRAEMAR3,0.0
2019/08/22 09:10:00,BRAEMAR5,0.0
2019/08/22 09:10:00,BRAEMAR6,0.0
2019/08/22 09:10:00,BRAEMAR7,0.0
2019/08/22 09:10:00,BROKENH1,32.25488
2019/08/22 09:10:00,BW01,543.47498
2019/08/22 09:10:00,BW02,562.375
2019/08/22 09:10:00,BW03,541.34998
2019/08/22 09:10:00,BW04,0.0
2019/08/22 09:10:00,CALL_B_1,349.30002
2019/08/22 09:10:00,CALL_B_2,280.30002
2019/08/22 09:10:00,CETHANA,99.08263000000001
2019/08/22 09:10:00,CG1,0.0
2019/08/22 09:10:00,CG2,0.0
2019/08/22 09:10:00,CG3,0.0
2019/08/22 09:10:00,CG4,0.0
2019/08/22 09:10:00,CHILDSF1,40.12
2019/08/22 09:10:00,CLARESF1,44.39245
2019/08/22 09:10:00,CLEMGPWF,5.25856
2019/08/22 09:10:00,CLERMSF1,15.17
2019/08/22 09:10:00,COLEASF1,55.5
2019/08/22 09:10:00,COOPGWF1,34.33869
2019/08/22 09:10:00,CPP_3,404.80002
2019/08/22 09:10:00,CPP_4,373.45001
2019/08/22 09:10:00,CPSA,143.13062
2019/08/22 09:10:00,CROOKWF2,84.71376
2019/08/22 09:10:00,CROWLWF1,40.462340000000005
2019/08/22 09:10:00,CSPVPS1,28.687
2019/08/22 09:10:00,DALNTH01,0.0
2019/08/22 09:10:00,DALNTHL1,0.10834
2019/08/22 09:10:00,DARTM1,134.60001
2019/08/22 09:10:00,DAYDSF1,115.033
2019/08/22 09:10:00,DDPS1,0.0
2019/08/22 09:10:00,DDSF1,85.52857
2019/08/22 09:10:00,DEVILS_G,0.0
2019/08/22 09:10:00,DG_NSW1,0.0
2019/08/22 09:10:00,DG_QLD1,0.0
2019/08/22 09:10:00,DG_SA1,0.0
2019/08/22 09:10:00,DG_TAS1,0.0
2019/08/22 09:10:00,DG_VIC1,0.0
2019/08/22 09:10:00,DRYCGT1,0.0
2019/08/22 09:10:00,DRYCGT2,0.0
2019/08/22 09:10:00,DRYCGT3,0.0
2019/08/22 09:10:00,EILDON1,0.0
2019/08/22 09:10:00,EILDON2,0.0
2019/08/22 09:10:00,EMERASF1,60.68
2019/08/22 09:10:00,ER01,569.67493
2019/08/22 09:10:00,ER02,591.0
2019/08/22 09:10:00,ER03,698.47498
2019/08/22 09:10:00,ER04,649.67505
2019/08/22 09:10:00,FINLYSF1,3.6315
2019/08/22 09:10:00,FISHER,45.96
2019/08/22 09:10:00,GANNBG1,2.37087
2019/08/22 09:10:00,GANNBL1,0.0
2019/08/22 09:10:00,GANNSF1,41.6
2019/08/22 09:10:00,GORDON,60.35624
2019/08/22 09:10:00,GSTONE1,121.975
2019/08/22 09:10:00,GSTONE2,117.775
2019/08/22 09:10:00,GSTONE3,131.59999
2019/08/22 09:10:00,GSTONE4,130.89999
2019/08/22 09:10:00,GSTONE5,132.125
2019/08/22 09:10:00,GSTONE6,0.0
2019/08/22 09:10:00,GULLRSF1,2.12985
2019/08/22 09:10:00,GULLRWF1,144.66635
2019/08/22 09:10:00,GUNNING1,44.43778
2019/08/22 09:10:00,GUTHEGA,0.0
2019/08/22 09:10:00,HALLWF1,35.93
2019/08/22 09:10:00,HALLWF2,20.98
2019/08/22 09:10:00,HAMISF1,46.7
2019/08/22 09:10:00,HAUGHT11,50.038779999999996
2019/08/22 09:10:00,HAYMSF1,40.331
2019/08/22 09:10:00,HDWF1,36.0
2019/08/22 09:10:00,HDWF2,30.6
2019/08/22 09:10:00,HDWF3,35.5
2019/08/22 09:10:00,HPRG1,5.9
2019/08/22 09:10:00,HPRL1,0.0
2019/08/22 09:10:00,HUMENSW,0.0
2019/08/22 09:10:00,HUMEV,11.2
2019/08/22 09:10:00,HVGTS,0.0
2019/08/22 09:10:00,JBUTTERS,141.09
2019/08/22 09:10:00,JLA01,0.5
2019/08/22 09:10:00,JLA02,0.0
2019/08/22 09:10:00,JLA03,0.1
2019/08/22 09:10:00,JLA04,0.1
2019/08/22 09:10:00,JLB01,0.0
2019/08/22 09:10:00,JLB02,0.1
2019/08/22 09:10:00,JLB03,0.0
2019/08/22 09:10:00,KAREEYA1,21.595
2019/08/22 09:10:00,KAREEYA2,21.8125
2019/08/22 09:10:00,KAREEYA3,0.0
2019/08/22 09:10:00,KAREEYA4,21.6675
2019/08/22 09:10:00,KARSF1,78.5
2019/08/22 09:10:00,KIATAWF1,24.5
2019/08/22 09:10:00,KPP_1,0.0
2019/08/22 09:10:00,KSP1,47.71
2019/08/22 09:10:00,LADBROK1,42.63
2019/08/22 09:10:00,LADBROK2,43.07
2019/08/22 09:10:00,LD01,355.57498
