SETTLEMENTDATE,DUID,SCADAVALUE
2019/08/20 09:30:00,BARCSF1,18.5
2019/08/20 09:30:00,BUTLERSG,9.799998
2019/08/20 09:30:00,CALL_A_4,0.0
2019/08/20 09:30:00,CAPTL_WF,135.067993
2019/08/20 09:30:00,CATHROCK,48.559998
2019/08/20 09:30:00,CHALLHWF,23.299999
2019/08/20 09:30:00,CLOVER,-0.01
2019/08/20 09:30:00,CLUNY,14.887159
2019/08/20 09:30:00,CNUNDAWF,40.547302
2019/08/20 09:30:00,CULLRGWF,30.309998999999998
2019/08/20 09:30:00,ERGT01,0.0
2019/08/20 09:30:00,GB01,0.05425599999999999
2019/08/20 09:30:00,GERMCRK,37.900002
2019/08/20 09:30:00,GRIFSF1,6.500008
2019/08/20 09:30:00,HUGSF1,8.989
2019/08/20 09:30:00,LKBONNY1,71.000946
2019/08/20 09:30:00,LRSF1,11.250001
2019/08/20 09:30:00,MBAHNTH,55.63125600000001
2019/08/20 09:30:00,MLSP1,8.312000999999999
2019/08/20 09:30:00,MLWF1,19.755001
2019/08/20 09:30:00,MTMILLAR,12.099572
2019/08/20 09:30:00,PALOONA,23.459999
2019/08/20 09:30:00,PIONEER,11.0
2019/08/20 09:30:00,PORTWF,136.800003
2019/08/20 09:30:00,REPULSE,28.803539
2019/08/20 09:30:00,ROWALLAN,10.082
2019/08/20 09:30:00,ROYALLA1,15.379001
2019/08/20 09:30:00,RPCG,11.3
2019/08/20 09:30:00,RUBICON,0.0
2019/08/20 09:30:00,SATGN1,0.0
2019/08/20 09:30:00,SATGS1,0.0
2019/08/20 09:30:00,STARHLWF,14.395802
2019/08/20 09:30:00,WAUBRAWF,82.0
2019/08/20 09:30:00,WOOLNTH1,126.780014
2019/08/20 09:30:00,WPWF,25.0
2019/08/20 09:30:00,YAMBUKWF,18.5
2019/08/20 09:30:00,YSWF1,28.6
2019/08/20 09:30:00,AGLHAL,0.0
2019/08/20 09:30:00,AGLSOM,0.0
2019/08/20 09:30:00,ANGAST1,0.0
2019/08/20 09:30:00,ARWF1,57.0
2019/08/20 09:30:00,BALBG1,0.92
2019/08/20 09:30:00,BALBL1,0.0
2019/08/20 09:30:00,BALDHWF1,103.004
2019/08/20 09:30:00,BANN1,59.96
2019/08/20 09:30:00,BARCALDN,0.0
2019/08/20 09:30:00,BARRON-1,0.0
2019/08/20 09:30:00,BARRON-2,28.92
2019/08/20 09:30:00,BASTYAN,80.81000999999999
2019/08/20 09:30:00,BBTHREE1,-1.96
2019/08/20 09:30:00,BBTHREE2,-2.02
2019/08/20 09:30:00,BBTHREE3,-1.07
2019/08/20 09:30:00,BDL01,41.58
